rep,n_trajectories,parameter_dim,events_per_trajectory,endpoints_per_trajectory,n_operator_rows,design_build_runtime_seconds,exact_runtime_seconds,approximate_runtime_seconds,exact_peak_python_bytes,approximate_peak_python_bytes,input_matrix_bytes,target_discrepancy,status_agreement,config_sha256,exact_weight_strategy,approximate_weight_strategy
0,250,3,5,4,1000,7.324999751290306e-05,0.2373607909976272,0.20115066599828424,1583644,851428,32024,8.881784197001252e-16,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
0,1000,10,1,1,1000,6.0040998505428433e-05,0.5515416249982081,0.4746348749977187,3564796,1895234,88080,1.887379141862766e-15,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
0,250,10,5,4,1000,0.00021504200412891805,0.5482284580066334,0.46962645900202915,3565033,1895542,88080,2.55351295663786e-15,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
0,1000,10,5,1,1000,0.0002132499939762056,0.5455073330012965,0.47272112499922514,3564987,1895532,88080,1.1102230246251565e-15,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
0,1000,10,20,1,1000,0.0008054580030147918,0.5480802079982823,0.4727224159942125,3564408,1895078,88080,1.5543122344752192e-15,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
0,250,30,5,4,1000,0.0006886669943924062,1.4460864159991615,1.25042904199654,9082835,4655384,248240,2.6645352591003757e-15,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
0,250,60,5,4,1000,0.0012201249992358498,2.8632874169998104,2.5211311660023057,17423006,8928101,488480,2.220446049250313e-16,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
0,500,3,5,4,2000,0.00014275000285124406,0.49629266600095434,0.21785300000192365,3154141,851495,64024,1.3322676295501878e-15,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
0,500,10,5,4,2000,0.00045954099914524704,1.1667565000025206,0.5009356250011479,7116339,1895271,176080,6.661338147750939e-16,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
0,500,30,5,4,2000,0.0013225840011727996,3.1066261250016396,1.3539809159992728,18150180,4655204,496240,1.1102230246251565e-15,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
0,500,60,5,4,2000,0.002400541998213157,6.145821792000788,2.378118665998045,34826710,8928928,976480,2.7755575615628914e-15,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
0,1000,3,5,4,4000,0.00030249999690568075,0.9359623329946771,0.1975003330007894,6305436,851231,128024,2.220446049250313e-15,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
0,1000,10,1,4,4000,0.00017729200044414029,2.1930979999960982,0.46536758299771463,14230826,1895114,352080,2.220446049250313e-15,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
0,1000,10,5,4,4000,0.0009540829996694811,2.1820744590004324,0.4671965840025223,14230400,1894637,352080,1.5543122344752192e-15,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
0,1000,10,20,4,4000,0.003115332998277154,2.1858795839943923,0.4813764170030481,14230163,1895141,352080,2.220446049250313e-16,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
0,1000,30,5,4,4000,0.002372542003286071,5.76888995799527,1.2472730409936048,36292866,4655319,992240,1.7763568394002505e-15,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
0,1000,60,5,4,4000,0.005514625001524109,10.7545492499994,2.2889102500048466,69645171,8928524,1952480,1.9984014443252818e-15,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
0,2000,3,5,4,8000,0.0004901659995084628,1.816646209001192,0.1925783330007107,12610140,851426,256024,4.440892098500626e-16,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
