rep,cell,variant,expected_status,expected_structural_status,expected_operational_status,predicted_status,structural_status,operational_status,certificate_scope,typed_contract_enforced,proof_verification_mandatory,ablated_component,true_target,point_estimate,interval_lower,interval_upper,runtime_seconds,config_sha256
0,unsupported_corrupted,full_crome,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,finite_sample_only,True,True,,1.0,,,,0.0031019589951029047,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
0,unsupported_corrupted,no_support_certifier,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,finite_sample_only,True,True,support_certifier,1.0,,,,0.0028063749996363185,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
0,unsupported_corrupted,no_target_null_check,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,finite_sample_only,True,True,target_null_check,1.0,,,,0.0028043750062352046,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
0,unsupported_corrupted,force_point,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,POINT_ESTIMABLE,,,,False,False,,1.0,-0.4115690829738281,-0.6315690829738281,-0.1915690829738281,3.4834003599826247e-05,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
0,unsupported_corrupted,no_mark_sharing,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,finite_sample_only,True,True,,1.0,,,,0.0028360840005916543,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
0,unsupported_corrupted,fixed_tolerance,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,finite_sample_only,True,True,,1.0,,,,0.0031019589951029047,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
0,structural_null,full_crome,NONRECOVERABLE,NONIDENTIFIED,INCONCLUSIVE,NONRECOVERABLE,NONIDENTIFIED,INCONCLUSIVE,population_exact,True,True,,1.0,,,,0.004920166000374593,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
0,structural_null,no_support_certifier,NONRECOVERABLE,NONIDENTIFIED,INCONCLUSIVE,NONRECOVERABLE,NONIDENTIFIED,INCONCLUSIVE,population_exact,True,True,support_certifier,1.0,,,,0.00467570800537942,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
0,structural_null,no_target_null_check,NONRECOVERABLE,NONIDENTIFIED,INCONCLUSIVE,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,finite_sample_only,True,True,target_null_check,1.0,,,,0.0005536249955184758,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
0,structural_null,force_point,NONRECOVERABLE,NONIDENTIFIED,INCONCLUSIVE,POINT_ESTIMABLE,,,,False,False,,1.0,0.0,-0.22,0.22,1.695800165180117e-05,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
0,structural_null,no_mark_sharing,NONRECOVERABLE,NONIDENTIFIED,INCONCLUSIVE,NONRECOVERABLE,NONIDENTIFIED,INCONCLUSIVE,population_exact,True,True,,1.0,,,,0.0047379579991684295,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
0,structural_null,fixed_tolerance,NONRECOVERABLE,NONIDENTIFIED,INCONCLUSIVE,NONRECOVERABLE,NONIDENTIFIED,INCONCLUSIVE,population_exact,True,True,,1.0,,,,0.004920166000374593,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
0,shared_sparse,full_crome,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,assumption_conditional,True,True,,1.0,0.9723611212848162,0.828971779382048,1.1157504631875845,0.021346458997868467,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
